_id,kilos,frutaNacional,directoNacional,enf,predio,precio.Descarte,precio.FrutaNacional,descarteLavado_descarteGeneral,descarteLavado_pareja,descarteLavado_balin,descarteLavado_descompuesta,descarteLavado_piel,descarteLavado_hojas,descarteEncerado_descarteGeneral,descarteEncerado_pareja,descarteEncerado_balin,descarteEncerado_extra,descarteEncerado_descompuesta,descarteEncerado_suelo,precio.6887f225e5e1fd727f8eb910,precio.688d371d142dfaceecae9958,precio.689a05d0102fb4cb445579bc,exportacion.6887f225e5e1fd727f8eb910,exportacion.688d371d142dfaceecae9958,exportacion.688b99b4611afbbf5e0cacb6,precio.688b99b4611afbbf5e0cacb6,precio.68966e7249e7fd7eff70c74c,precio.68966eb849e7fd7eff70c74d,exportacion.689a05d0102fb4cb445579bc,exportacion.68966eb849e7fd7eff70c74d,exportacion.68966e7249e7fd7eff70c74c,precio.undefined
6786dd0870c9fc7144d3cb73,550,0,0,EF1-250153,La Miranda ~ CM Citrus,400,0,24,18,0,3,0,3,32,20,0,0,0,0,3600,2000,400,368,16,,,,,,,,
6788211070c9fc7144d41433,5715,0,0,EF1-250164,La Miranda ~ CM Citrus,,,52,51,46,0,0,14,48,469,0,0,0,10,,,,,,4960,,,,,,,
6788659070c9fc7144d4258f,6550,0,0,EF1-250170,La Miranda ~ CM Citrus,,,42,188,123,7,0,19,50,669,0,0,9,6,,,,,,5400,,,,,,,
678961c370c9fc7144d48c3c,5680,0,0,EF1-250176,La Miranda ~ CM Citrus,,,72,215,63,4,0,10,25,329,0,0,0,19,,,,,,4880,,,,,,,
6789a90670c9fc7144d4c6b2,9250,0,0,EF1-250178,La Miranda ~ CM Citrus,,,108,324,91,9,0,16,146,684,0,0,0,29,,,,,,7720,,,,,,,
678aa9ba70c9fc7144d5463e,5630,0,0,EF1-250183,La Miranda ~ CM Citrus,,,51,164,52,3,0,2,22,253,0,4,0,17,,,,,,5000,,,,,,,
678afda070c9fc7144d5c044,8705,0,0,EF1-250192,La Miranda ~ CM Citrus,,,248,640,91,14,0,23,352,516,0,0,6,15,,,,,,1116,,,,,,,
678f8fd570c9fc7144d6e92c,11170,0,0,EF1-2501103,La Miranda ~ CM Citrus,700,0,315,1140,188,13,0,15,475,591,0,0,5,35,,,,,,2268,1500,0,0,,,,
678f96fa70c9fc7144d6eca8,3690,0,0,EF1-2501104,La Miranda ~ CM Citrus,500,0,103,397,76,4,0,12,162,190,0,0,5,19,,,,,,666,1500,0,0,,,,
6790048070c9fc7144d79d15,10041,0,0,EF1-2501105,La Miranda ~ CM Citrus,700,0,138,124,4,0,11,17,607,609,0,3,0,8,,,,,,3726,1500,0,0,,,,
679027f570c9fc7144d7c1db,7940,0,0,EF1-2501108,La Miranda ~ CM Citrus,700,0,247,100,107,6,0,8,260,718,0,0,0,11,,,,,,2214,1500,0,0,,,,
67913dfb70c9fc7144d8432d,6410,0,0,EF1-2501112,La Miranda ~ CM Citrus,700,0,126,79,57,5,0,4,113,494,0,0,0,16,,,,,,2052,1500,0,0,,,,
67918d3970c9fc7144d8b87a,8081,0,0,EF1-2501117,La Miranda ~ CM Citrus,700,0,362,483,96,5,0,24,366,404,0,0,6,45,,,,,,2124,1500,0,0,,,,
6792a16670c9fc7144d9843d,8315,0,0,EF1-2501121,La Miranda ~ CM Citrus,700,0,285,93,57,5,0,8,326,342,0,0,0,16,,,,,,2502,1500,0,0,,,,
6792e97670c9fc7144d9b15c,9271,0,0,EF1-2501124,La Miranda ~ CM Citrus,700,0,216,185,162,8,0,18,95,1102,0,0,0,18,,,,,,1494,1500,0,0,,,,
6798cf1770c9fc7144dc6fc8,8346,0,0,EF1-2501144,La Miranda ~ CM Citrus,700,0,152,556,133,6,0,1,127,719,0,0,0,12,,,,,,6520,1500,0,0,,,,
6798f6f570c9fc7144dc7905,9070,0,0,EF1-2501146,La Miranda ~ CM Citrus,700,0,259,280,103,9,0,26,133,521,0,0,0,21,,,,,,7640,1500,0,0,,,,
67993e0665c169d8ccc3e11e,9295,0,0,EF1-2501148,La Miranda ~ CM Citrus,700,0,268,381,116,10,0,20,186,730,0,0,0,35,,,,,,7560,1500,0,0,,,,
6799629865c169d8ccc434be,7447,0,0,EF1-2501149,La Miranda ~ CM Citrus,700,0,156,426,135,7,0,14,143,669,0,0,13,40,,,,,,5840,1500,0,0,,,,
679a698065c169d8ccc496e7,5505,0,0,EF1-2501153,La Miranda ~ CM Citrus,700,0,74,43,117,5,0,7,76,466,0,0,0,0,,,,,,4640,1500,0,0,,,,
679aaa1765c169d8ccc4d0fd,5525,0,0,EF1-2501155,La Miranda ~ CM Citrus,700,0,76,64,190,5,0,12,101,608,0,0,0,11,,,,,,4360,1500,0,0,,,,
679ab13c65c169d8ccc4d5fe,6290,0,0,EF1-2501156,La Miranda ~ CM Citrus,700,0,200,75,209,6,0,5,114,713,0,0,0,15,,,,,,4840,1500,0,0,,,,
679bba9265c169d8ccc5612c,5475,0,0,EF1-2501163,La Miranda ~ CM Citrus,700,0,210,37,105,3,0,18,123,315,0,0,0,11,,,,,,4600,1500,0,0,,,,
679befee65c169d8ccc5fa3f,4483,0,0,EF1-2501167,La Miranda ~ CM Citrus,700,0,137,1163,212,7,0,14,1237,493,0,0,2,7,,,,,,1000,1500,0,0,,,,
67ab415b0fbf99dfea7ba881,7666,0,0,EF1-2502219,La Miranda ~ CM Citrus,500,0,220,452,186,13,0,5,233,380,0,0,0,0,,,,,,6080,1500,0,0,,,,
67ab4a660fbf99dfea7ba961,8103,0,0,EF1-2502220,La Miranda ~ CM Citrus,500,0,282,470,56,12,0,19,242,342,0,0,0,3,,,,,,6520,1500,0,0,,,,
67acde61afdc8ecde43a0071,7175,0,0,EF1-2502221,La Miranda ~ CM Citrus,500,0,407,150,51,18,0,16,159,163,0,0,4,6,,,,,,6120,1500,0,0,,,,
67ad099bafdc8ecde43a04c5,8230,0,0,EF1-2502223,La Miranda ~ CM Citrus,500,0,273,300,138,14,0,12,179,285,0,0,0,12,,,,,,6920,1500,0,0,,,,
67ad260bafdc8ecde43a075a,6038,0,0,EF1-2502224,La Miranda ~ CM Citrus,500,0,195,183,69,15,0,11,117,200,0,0,0,12,,,,,,5200,1500,0,0,,,,
67ae82d07c148550693c9523,10994,0,0,EF1-2502231,La Miranda ~ CM Citrus,500,0,323,304,95,25,0,0,228,418,0,0,0,12,,,,,,9440,1500,0,0,,,,
