_id,kilos,frutaNacional,directoNacional,enf,predio,precio.Descarte,precio.FrutaNacional,descarteLavado_descarteGeneral,descarteLavado_pareja,descarteLavado_balin,descarteLavado_descompuesta,descarteLavado_piel,descarteLavado_hojas,descarteEncerado_descarteGeneral,descarteEncerado_pareja,descarteEncerado_balin,descarteEncerado_extra,descarteEncerado_descompuesta,descarteEncerado_suelo,precio.6887f225e5e1fd727f8eb910,precio.688d371d142dfaceecae9958,precio.689a05d0102fb4cb445579bc,exportacion.688d371d142dfaceecae9958,exportacion.6887f225e5e1fd727f8eb910,exportacion.689a05d0102fb4cb445579bc
677eb2b7ead6d97e8a1cea2d,231,0,231,EF8-250101,Villanita,400,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2000,400,,,
677ebb3aead6d97e8a1cfb38,3689,0,0,EF1-250121,Villanita,400,0,610,0,4,24,0,3,646,0,0,136,0,15,2500,2000,400,656,1568,
678525198219a7ad2adfd837,2460,0,0,EF1-250151,Villanita,400,0,587,60,8,46,0,2,349,155,0,0,0,7,2500,2000,400,432,795.5,
6787f17b70c9fc7144d3fc94,2362,0,0,EF1-250159,Villanita,400,0,712,0,10,13,0,2,540,152,0,3,0,0,3600,2000,400,240,688,
678bf31c70c9fc7144d614bc,2610,0,0,EF1-2501100,Villanita,400,0,291,0,0,12,0,0,280,0,0,0,0,12,3600,2000,400,320,1488,160
6795182d70c9fc7144db1709,1065,0,1065,EF8-250106,Villanita,300,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,1500,300,,,
67951e0170c9fc7144db2af9,3425,0,0,EF1-2501139,Villanita,300,0,732,120,0,13,0,2,357,147,0,3,0,0,2700,1500,300,512,1552,
6799140065c169d8ccc3aecf,857,0,0,EF1-2501147,Villanita,300,0,229,0,4,1,0,0,140,0,0,0,0,3,2300,1500,0,128,261,80
679d55dd65c169d8ccc77932,3170,0,0,EF1-2501173,Villanita,300,0,795,98,0,7,0,0,500,180,0,9,0,8,2300,1500,0,336,1216,
67b7ab997fb73278d7c60891,89,0,89,EF8-250218,Villanita,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,1500,800,,,
67b7af097fb73278d7c608aa,953,0,0,EF1-2502256,Villanita,600,0,142,90,0,3,0,0,56,20,0,0,0,0,2300,1500,800,176,464,
67b913bb7fb73278d7c64f2a,371,0,0,EF1-2502266,Villanita,600,0,26,38,0,0,0,0,21,11,0,3,0,10,2300,1500,800,32,224,
67c2386bd0bb841eb42820b9,3160,0,0,EF1-2502301,Villanita,300,0,189,0,9,8,0,3,231,0,0,7,0,0,2300,1500,300,464,1680,560
67c8de10fc6ac8895eab84de,2334,0,0,EF1-2503323,Villanita,300,0,182,61,0,6,0,1,68,0,0,12,0,0,2300,1500,300,336,1184,448
67cc9929fc6ac8895ead57e3,3338,0,0,EF1-2503348,Villanita,300,0,616,0,0,14,0,4,148,0,0,0,0,0,2300,1500,300,400,1616,480
67d38087aa1f70909c2b89eb,2060,0,0,EF1-2503370,Villanita,300,0,591,12,0,3,0,11,153,0,0,16,0,5,2300,1500,300,240,752,270
67d381d7aa1f70909c2b89f9,409,0,408.99999999999994,EF8-250329,Villanita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,1500,0,,,
67db5a5cec7b9f1f534b8e91,1463,0,0,EF1-2503399,Villanita,400,0,23,0,0,5,0,8,40,0,0,0,0,0,2500,1700,1000,397,682,306
67def50a30614ae283f74e2b,1222,0,0,EF1-2503423,Villanita,400,0,146,13,0,3,0,0,23,0,0,2,0,3,2500,1700,1000,400,388,224
67fa6670c94d0cf905c0ec6c,2404,0,0,EF1-2504509,Villanita,800,0,231,0,0,3,0,1,175,0,0,26,0,12,2300,1500,1000,280.5,841.5,810
68004273a7061fe8cea088b7,3440,0,0,EF1-2504532,Villanita,800,0,369,149,0,3,0,0,160,340,0,0,0,0,2300,1500,1000,773,1237.5,363
680aac203b95170590db09c5,2743,0,0,EF1-2504547,Villanita,800,0,197,65,0,1,0,2,152,380,0,3,0,21,2300,2300,1000,240,1664,
680d0ad31ec70fb65e6faa51,968,0,0,EF1-2504574,Villanita,800,0,57,14,0,1,0,2,18,100,0,9,0,5,2300,2300,1000,445.5,304.5,
6812bf851ec70fb65e932ce9,130,0,130,EF8-250443,Villanita,800,0,,,,,,,,,,,,,2300,2300,1000,,,
6812c21a1ec70fb65e932d12,1022,0,0,EF1-2504593,Villanita,800,0,11,61,0,1,0,0,23,60,0,4,0,13,2300,2300,1000,327,505.5,
68166c7299cc5973c3f5da2e,975,0,0,EF1-2505622,Villanita,800,0,79,0,0,0,0,0,63,0,0,5,0,5,2300,2300,1000,461.5,303,40
681bc48399cc5973c312442e,1890,0,0,EF1-2505638,Villanita,500,0,38,140,0,0,0,1,40,97,0,0,0,4,2300,2300,1000,739,827,
681fbe298c8142e5ca9e90bf,1250,0,1250,EF8-250552,Villanita,500,0,,,,,,,,,,,,,2300,2300,1000,,,
681fc59b8c8142e5ca9e986b,3618,0,0,EF1-2505673,Villanita,500,0,141,0,0,3,0,0,172,0,0,0,0,14,2300,2300,1000,1477.5,1345,400
6823e410749fc630ecbb6356,475,0,475,EF8-250555,Villanita,800,0,,,,,,,,,,,,,2300,2300,1000,,,
6823eb01749fc630ecbb6374,5585,0,0,EF1-2505683,Villanita,300,0,74,124,6,2,0,0,148,303,0,0,0,20,2300,2300,500,2103.5,2542,200
68269d34a663a05579dd533f,587,0,587,EF8-250560,Villanita,500,0,,,,,,,,,,,,,2300,2300,1000,,,
6826a7fca663a05579dd5b82,4451,0,0,EF1-2505707,Villanita,300,0,47,79,0,0,0,0,128,75,0,98,0,22,2300,2300,500,1587,2330,
6827e14aa663a05579de246f,86,0,86,EF8-250562,Villanita,500,0,,,,,,,,,,,,,2300,2300,1000,,,
6827e56ca663a05579de2611,1443,0,0,EF1-2505719,Villanita,300,0,13,0,0,0,0,2,20,20,0,3,0,0,2300,2300,500,407,964.5,
682e05afa663a05579e128c3,788,0,788,EF8-250564,Villanita,500,0,,,,,,,,,,,,,2300,2300,1000,,,
682e07dda663a05579e12968,5880,0,0,EF1-2505741,Villanita,300,0,79,0,0,1,0,1,116,0,0,3,0,12,2300,2300,500,1467.5,3729,440
6830e31de23071a68551d2a8,795,0,795,EF8-250567,Villanita,500,0,,,,,,,,,,,,,2300,2300,1000,,,
6830f359e23071a68551ee07,6024,0,0,EF1-2505770,Villanita,300,0,137,37,0,3,0,1,267,431,0,0,0,18,2300,2300,500,1839.5,3267,
683772198b8180395d08e308,526,0,526,EF8-250570,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
6837792d8b8180395d08eb9e,4460,0,0,EF1-2505797,Villanita,300,0,173,0,0,3,0,3,100,0,0,11,0,31,2300,2300,500,1485,2277,360
683dd12e8b8180395d0b615a,1744,0,1744.0000000000002,EF8-250576,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
683dda498b8180395d0b6e18,7699,0,0,EF1-2505832,Villanita,300,0,243,0,0,10,0,0,263,0,0,0,0,33,2300,2300,500,3513,2748,760
6841b786155160fd2641bc02,1235,0,1235,EF8-250678,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
6841b930155160fd2641bdf2,6455,0,0,EF1-2506852,Villanita,300,0,100,140,9,21,0,3,238,391,0,6,0,39,2300,2300,500,1543.5,2730.5,1160
684366c89c9ca502bd2c0f3e,3934,0,0,EF1-2506864,Villanita,300,0,53,87,0,1,0,3,40,444,0,5,0,0,2300,2300,500,1287,1980,
684369259c9ca502bd2c1569,546,0,546,EF8-250680,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
6849f1799c9ca502bd2e9cc4,807,0,807,EF8-250682,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
6849f9859c9ca502bd2ea436,4043,0,0,EF1-2506890,Villanita,300,0,172,196,1,0,0,1,1514,340,0,0,0,16,2300,2300,500,,1779,
684cd475b7bec42cd029f01f,820,0,820,EF8-250684,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
684cd7f6b7bec42cd029f298,3306,0,0,EF1-2506915,Villanita,300,0,134,24,0,4,0,4,420,580,0,0,0,7,2300,2300,500,768,1354.5,
68533722828bec8d066d36ad,713,0,713,EF8-250690,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
68533d1e828bec8d066d4c04,1670,0,0,EF1-2506943,Villanita,200,0,59,0,0,1,0,0,57,0,0,0,0,0,2300,2300,200,304,881,320
686294a9ac1ca5580b60d85d,2431,0,2431,EF8-250698,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
6862b50b533b033e9dab7b52,5339,0,0,EF1-25061012,Villanita,200,0,543,282,0,12,0,1,174,737,0,11,0,16,2300,2300,500,1408,2127,
68672990da450915fbc037d7,1891,0,1891,EF8-2507102,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
6867302cda450915fbc03e1a,5824,0,0,EF1-25071033,Villanita,300,0,317,0,0,5,0,1,278,0,0,12,0,5,2300,2300,500,912,3166.5,1120
68694a38499c520339b91deb,833,0,833,EF1-25071046,Villanita,300,0,,,,,,,,,,,,,2300,2300,500,,,
68694fbc499c520339b9282b,2660,0,0,EF1-25071047,Villanita,300,0,111,48,0,2,0,0,160,145,0,5,0,5,2300,2300,500,1168,994.5,
686c5f8f125b9875c911b038,609,0,609,EF8-2507107,Villanita,500,0,,,,,,,,,,,,,2300,2300,1000,,,
686c62ab125b9875c911b069,1891,0,0,EF1-25071054,Villanita,500,0,109,0,0,3,0,0,200,20,0,12,0,0,2300,2300,1000,864,432,200
686efa04125b9875c912c438,1008,0,1008,EF8-2507108,Villanita,500,0,,,,,,,,,,,,,2300,2300,1000,,,
686efccf125b9875c912c461,1513,0,0,EF1-25071060,Villanita,500,0,107,0,0,2,0,2,108,20,0,225,0,8,2300,2300,1000,480,408,120
687186d814e1b89a59bd25db,1979,0,0,EF1-25071071,Villanita,500,0,400,0,0,6,0,0,200,80,0,5,0,17,2300,2300,1000,976,,240
68794cb815ac00985bd2c3ae,2020,0,0,EF1-25071095,Villanita,300,0,549,6,5,0,0,0,80,154,0,5,0,3,2300,2300,1000,752,63,360
687bd3a015ac00985bd47522,845,0,0,EF1-25071119,Villanita,300,0,25,0,1,0,0,0,20,0,0,4,0,7,2300,2300,1000,128,,640
6884df018315892c756daae5,1310,0,0,EF1-25071152,Villanita,300,0,126,0,0,1,0,1,20,25,0,9,0,7,2300,2300,1000,162,468,480
68a667a2aedee91299f1bb48,2078,0,0,EF1-25081260,Villanita,1400,0,800,0,0,0,0,0,300,0,0,0,0,13,4400,2000,1000,592,210,160
68a8e30826de1d597d4acc50,721,0,0,EF1-25081271,Villanita,1400,0,201,16,7,2,0,0,151,52,0,8,0,0,4400,2000,1000,176,96,
